source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEVXI1TEVrTEYtMkE/view","কর্ম ও জীবনমুকী শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1j1ap4ESpD_KxoE758nPrf8deZzm9UYjt/view?usp=drive_link","কর্ম ও জীবনমুকী শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","https://drive.google.com/file/d/0B8L6VJQZe3EEMnRDRFpWUkl0Nk0/view","চারু ও কারুকলা"
"2017\২০১৭ শিক্ষাবর্ষের অষ্টম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1wpAUVH5N6Wke_hIj_Ydp1TFo9Wxr4Bx9/view?usp=drive_link","চারু ও কারুকলা"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1v2kkhz7FK0IdRdligvUsLuyQmNSkd9_9/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1rXU60rCkpTXK-_3B93YTVzG46-IUmtdI/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ffjwhG3lXIuUaANlD4dhMYNpANkGywk6/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1v6Xm33LGVtSR031f7KwPECrziqNlkmTF/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ohYqrb2Nj_HPaNSDPquQZMJyhp3T19bQ/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1iPSdVAVYErtJ-C6GyXR8SobDStytQCbc/view?usp=sharing",""
